Vehicle,"","branch","","","","Highlevel vehicle data.","","",""
Vehicle.Acceleration,"","branch","","","","Spatial acceleration","","",""
Vehicle.Acceleration.Lateral,"1207","sensor","m/s2","","","Vehicle acceleration in Y (lateral acceleration).","","",""
Vehicle.Acceleration.Longitudinal,"1206","sensor","m/s2","","","Vehicle acceleration in X (longitudinal acceleration).","","",""
Vehicle.Acceleration.Vertical,"1208","sensor","m/s2","","","Vehicle acceleration in Z (vertical acceleration).","","",""
Vehicle.Drivetrain,"","branch","","","","Drivetrain data for internal combustion engines, transmissions, electric motors, etc.","","",""
Vehicle.Drivetrain.FuelCell,"","branch","","","","Fuel Cell data.","","",""
Vehicle.Drivetrain.FuelSystem,"","branch","","","","Fuel system data.","","",""
Vehicle.Drivetrain.FuelSystem.HybridType,"3452","attribute","","","","Defines the hybrid type of the vehicle","unknown / not_applicable / stop_start / belt_ISG / CIMG / PHEV","",""
Vehicle.Drivetrain.FuelSystem.TankCapacity,"3453","attribute","l","","","Capacity of the fuel tank in liters","","",""
Vehicle.Drivetrain.FuelSystem.ConsumptionSinceStart,"3458","sensor","l","","","Fuel amount consumed since start in liters.","","",""
Vehicle.Drivetrain.FuelSystem.EngineStopStartEnabled,"3460","sensor","","","","Indicates whether eco start stop is currently enabled","","",""
Vehicle.Drivetrain.FuelSystem.Level,"3454","sensor","percent","0","100","Level in fuel tank as percent of capacity. 0 = empty. 100 = full.","","",""
Vehicle.Drivetrain.FuelSystem.InstantConsumption,"3456","sensor","l/100km","0","","Current consumption in liters per 100 km.","","",""
Vehicle.Drivetrain.FuelSystem.TimeSinceStart,"3459","sensor","s","","","Time elapsed since start in seconds.","","",""
Vehicle.Drivetrain.FuelSystem.LowFuelLevel,"3461","sensor","","","","Indicates that the fuel level is low (e.g. <50km range)","","",""
Vehicle.Drivetrain.FuelSystem.Range,"3455","sensor","m","","","Range in meters.","","",""
Vehicle.Drivetrain.FuelSystem.AverageConsumption,"3457","sensor","l/100km","0","","Average consumption in liters per 100 km.","","",""
Vehicle.Drivetrain.FuelSystem.FuelType,"3451","attribute","","","","Defines the fuel type of the vehicle","unknown / gasoline / diesel / electric / hybrid / E85 / CNG / LPG","",""
Vehicle.Drivetrain.Transmission,"","branch","","","","Transmission-specific data, stopping at the drive shafts.","","",""
Vehicle.Drivetrain.Transmission.TravelledDistance,"3441","sensor","km","","","Odometer reading","","",""
Vehicle.Drivetrain.Transmission.Gear,"3442","actuator","","-1","16","Current gear. 0=Neutral. -1=Reverse","","",""
Vehicle.Drivetrain.Transmission.Speed,"3440","sensor","km/h","-250","250","Vehicle speed, as sensed by the gearbox.","","",""
Vehicle.Drivetrain.Transmission.GearCount,"3438","attribute","","","","Number of forward gears in the transmission. -1 = CVT.","","",""
Vehicle.Drivetrain.Transmission.PerformanceMode,"3443","actuator","","","","Current gearbox performance mode.","normal / sport / economy / snow / rain","",""
Vehicle.Drivetrain.Transmission.ClutchWear,"3446","sensor","percent","","","Clutch wear as a percent. 0 = no wear. 100 = worn.","","",""
Vehicle.Drivetrain.Transmission.DriveType,"3439","attribute","","","","Drive type.","unknown / forward wheel drive / rear wheel drive / all wheel drive","",""
Vehicle.Drivetrain.Transmission.Type,"3437","attribute","","","","Transmission type.","unknown / sequential / H / automatic / DSG / CVT","",""
Vehicle.Drivetrain.Transmission.GearChangeMode,"3444","actuator","","","","Is the gearbox in automatic or manual (paddle) mode.","manual / automatic","",""
Vehicle.Drivetrain.Transmission.Temperature,"3445","sensor","celsius","-50","200","The current gearbox temperature","","",""
Vehicle.Drivetrain.ElectricMotor,"","branch","","","","Electric Motor specific data.","","",""
Vehicle.Drivetrain.InternalCombustionEngine,"","branch","","","","Engine-specific data, stopping at the bell housing.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine,"","branch","","","","Engine signals","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.EOP,"3433","sensor","kpa","0","1000","Engine oil pressure.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.MAP,"3430","sensor","kpa","0","1000","Manifold air pressure possibly boosted using forced induction.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.Power,"3434","sensor","kW","0","2000","Current engine power output.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.EOT,"3429","sensor","celsius","-50","300","Engine oil temperature.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.Torque,"3435","sensor","N.m","0","3000","Current engine torque.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.AmbientAirTemperature,"3436","sensor","celsius","","","Ambient (Outside) air temperature","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.ECT,"3428","sensor","celsius","-50","200","Engine coolant temperature.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.TPS,"3432","sensor","percent","0","100","Current throttle position.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.MAF,"3431","sensor","g/s","0","3000","Grams of air drawn into engine per second.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Engine.Speed,"3427","sensor","rpm","0","20000","Engine speed measured as rotations per minute.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.MaxTorque,"3425","attribute","N.m","","","Peak power, in newton meter, that the engine can generate.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Displacement,"3422","attribute","cm3","","","Displacement in cubic centimetres.","","",""
Vehicle.Drivetrain.InternalCombustionEngine.Configuration,"3423","attribute","","","","Engine configuration.","unknown / straight / V / boxer / W / rotary / radial / square / H / U / opposed / X","",""
